customer_id,persona
1,sudden_churner
2,gradual_churner
3,casual
4,sudden_churner
5,loyal
6,sudden_churner
7,gradual_churner
8,gradual_churner
9,one_and_done
10,gradual_churner
11,casual
12,one_and_done
13,gradual_churner
14,gradual_churner
15,loyal
16,one_and_done
17,loyal
18,sudden_churner
19,loyal
20,one_and_done
21,loyal
22,casual
23,gradual_churner
24,sudden_churner
25,one_and_done
26,loyal
27,loyal
28,gradual_churner
29,loyal
30,sudden_churner
31,gradual_churner
32,casual
33,one_and_done
34,casual
35,gradual_churner
36,loyal
37,gradual_churner
38,loyal
39,one_and_done
40,gradual_churner
41,gradual_churner
42,loyal
43,one_and_done
44,casual
45,sudden_churner
46,sudden_churner
47,one_and_done
48,gradual_churner
49,casual
50,loyal
51,casual
52,casual
53,casual
54,casual
55,casual
56,casual
57,casual
58,casual
59,gradual_churner
60,sudden_churner
61,loyal
62,loyal
63,sudden_churner
64,loyal
65,casual
66,casual
67,sudden_churner
68,gradual_churner
69,loyal
70,gradual_churner
71,sudden_churner
72,gradual_churner
73,one_and_done
74,sudden_churner
75,one_and_done
76,casual
77,loyal
78,gradual_churner
79,sudden_churner
80,one_and_done
81,gradual_churner
82,gradual_churner
83,loyal
84,gradual_churner
85,gradual_churner
86,gradual_churner
87,one_and_done
88,casual
89,one_and_done
90,sudden_churner
91,one_and_done
92,loyal
93,loyal
94,gradual_churner
95,sudden_churner
96,casual
97,loyal
98,gradual_churner
99,casual
100,loyal
101,sudden_churner
102,one_and_done
103,gradual_churner
104,loyal
105,gradual_churner
106,sudden_churner
107,gradual_churner
108,loyal
109,loyal
110,one_and_done
111,one_and_done
112,casual
113,casual
114,casual
115,casual
116,casual
117,sudden_churner
118,loyal
119,casual
120,casual
121,one_and_done
122,one_and_done
123,casual
124,loyal
125,casual
126,gradual_churner
127,casual
128,loyal
129,sudden_churner
130,sudden_churner
131,gradual_churner
132,loyal
133,loyal
134,gradual_churner
135,sudden_churner
136,sudden_churner
137,gradual_churner
138,sudden_churner
139,one_and_done
140,one_and_done
141,casual
142,loyal
143,gradual_churner
144,loyal
145,loyal
146,loyal
147,sudden_churner
148,one_and_done
149,gradual_churner
150,casual
151,gradual_churner
152,gradual_churner
153,gradual_churner
154,casual
155,casual
156,casual
157,loyal
158,gradual_churner
159,one_and_done
160,sudden_churner
161,gradual_churner
162,one_and_done
163,casual
164,gradual_churner
165,loyal
166,gradual_churner
167,sudden_churner
168,casual
169,casual
170,sudden_churner
171,loyal
172,sudden_churner
173,casual
174,gradual_churner
175,one_and_done
176,gradual_churner
177,loyal
178,casual
179,one_and_done
180,casual
181,one_and_done
182,loyal
183,sudden_churner
184,casual
185,one_and_done
186,gradual_churner
187,loyal
188,sudden_churner
189,one_and_done
190,gradual_churner
191,loyal
192,loyal
193,casual
194,sudden_churner
195,loyal
196,one_and_done
197,casual
198,gradual_churner
199,one_and_done
200,loyal
201,casual
202,gradual_churner
203,loyal
204,one_and_done
205,casual
206,loyal
207,loyal
208,gradual_churner
209,sudden_churner
210,casual
211,one_and_done
212,gradual_churner
213,loyal
214,casual
215,casual
216,sudden_churner
217,sudden_churner
218,gradual_churner
219,casual
220,one_and_done
221,gradual_churner
222,sudden_churner
223,gradual_churner
224,gradual_churner
225,sudden_churner
226,gradual_churner
227,loyal
228,one_and_done
229,gradual_churner
230,loyal
231,casual
232,loyal
233,loyal
234,one_and_done
235,one_and_done
236,casual
237,casual
238,sudden_churner
239,gradual_churner
240,casual
241,loyal
